Processed,ID,Req. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body,Highest Alert,Note,Tags
Out of Scope,50,Fri Apr 25 15:54:43 WAT 2025,GET,https://nifetrends.onrender.com/api/product/list,403,Forbidden,0,130,40,,false,
Processed,51,Fri Apr 25 15:54:43 WAT 2025,GET,https://nifetrends.vercel.app/assets/lol-DRqJDnHx.png,304,Not Modified,266,207,0,Low,false,
Out of Scope,52,Fri Apr 25 15:54:43 WAT 2025,GET,https://checkout.paystack.com/popup,403,Forbidden,0,130,40,,false,
Processed,53,Fri Apr 25 15:54:43 WAT 2025,GET,https://paystack.com/public/css/button.min.css,403,Forbidden,777,1595,8152,Medium,false,Script
Out of Scope,54,Fri Apr 25 15:54:45 WAT 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=query-stripping&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Out of Scope,55,Fri Apr 25 15:54:45 WAT 2025,GET,https://firefox.settings.services.mozilla.com/v1/buckets/monitor/collections/changes/changeset?collection=fingerprinting-protection-overrides&bucket=main&_expected=0,403,Forbidden,0,130,40,,false,
Processed,56,Fri Apr 25 15:54:45 WAT 2025,GET,https://nifetrends.vercel.app/assets/hero_img-DOCOb6wn.png,200,OK,1935,535,816589,Medium,false,Comment
Out of Scope,57,Fri Apr 25 15:54:47 WAT 2025,POST,https://shavar.services.mozilla.com/downloads?client=navclient-auto-ffox&appver=128.7&pver=2.2,403,Forbidden,0,130,40,,false,
Processed,58,Fri Apr 25 15:54:51 WAT 2025,GET,http://nifetrends.vercel.app/4085537642803794773,308,Permanent Redirect,511,204,14,,false,
Processed,59,Fri Apr 25 15:54:51 WAT 2025,GET,https://nifetrends.vercel.app/4085537642803794773,200,OK,301,536,591,Medium,false,Script
Processed,60,Fri Apr 25 15:54:52 WAT 2025,GET,https://nifetrends.vercel.app/assets/index-ByTW5phP.js,304,Not Modified,370,207,0,Low,false,
Processed,61,Fri Apr 25 15:54:52 WAT 2025,GET,https://nifetrends.vercel.app/assets/index-B3TRo-CP.css,304,Not Modified,370,207,0,Low,false,
Processed,62,Fri Apr 25 15:54:52 WAT 2025,GET,https://checkout.flutterwave.com/v3.js,200,OK,446,499,32366,Low,false,Comment
Out of Scope,63,Fri Apr 25 15:54:52 WAT 2025,GET,https://checkout-v3-ui-prod.f4b-flutterwave.com/,403,Forbidden,0,130,40,,false,
Out of Scope,64,Fri Apr 25 15:54:52 WAT 2025,GET,https://nifetrends.onrender.com/api/product/list,403,Forbidden,0,130,40,,false,
Processed,65,Fri Apr 25 15:54:52 WAT 2025,GET,https://nifetrends.vercel.app/assets/lol-DRqJDnHx.png,304,Not Modified,303,207,0,Low,false,
Out of Scope,66,Fri Apr 25 15:54:52 WAT 2025,GET,https://checkout.paystack.com/popup,403,Forbidden,0,130,40,,false,
Processed,67,Fri Apr 25 15:54:52 WAT 2025,GET,https://nifetrends.vercel.app/vite.svg,200,OK,257,524,1497,Medium,false,
Processed,68,Fri Apr 25 15:54:52 WAT 2025,GET,https://paystack.com/public/css/button.min.css,403,Forbidden,811,1595,8152,Medium,false,Script
